"Step","log_orig_dreamerv3 - episode/score","log_orig_dreamerv3 - episode/score__MIN","log_orig_dreamerv3 - episode/score__MAX"
"48039","30.53466961858794","30.53466961858794","30.53466961858794"
"48040","28.011204215697944","28.011204215697944","28.011204215697944"
"48041","32.843130704481155","32.843130704481155","32.843130704481155"
"48042","32.05673779314384","32.05673779314384","32.05673779314384"
"48043","30.99059903714806","30.99059903714806","30.99059903714806"
"48044","32.13142410898581","32.13142410898581","32.13142410898581"
"48045","29.64086520159617","29.64086520159617","29.64086520159617"
"48046","38.78895753482357","38.78895753482357","38.78895753482357"
"48047","33.03390731476247","33.03390731476247","33.03390731476247"
"48048","34.43424930982292","34.43424930982292","34.43424930982292"
"64049","40.21529371198267","40.21529371198267","40.21529371198267"
"64050","50.18214802141301","50.18214802141301","50.18214802141301"
"64051","44.68485709349625","44.68485709349625","44.68485709349625"
"64052","46.746118624694645","46.746118624694645","46.746118624694645"
"64053","58.622825297527015","58.622825297527015","58.622825297527015"
"64054","40.03397921798751","40.03397921798751","40.03397921798751"
"64055","45.033281130716205","45.033281130716205","45.033281130716205"
"64056","44.54124717693776","44.54124717693776","44.54124717693776"
"64057","43.284029620699584","43.284029620699584","43.284029620699584"
"64058","45.18547579180449","45.18547579180449","45.18547579180449"
"64059","47.197795727755874","47.197795727755874","47.197795727755874"
"64060","41.455404224805534","41.455404224805534","41.455404224805534"
"64061","44.799559756182134","44.799559756182134","44.799559756182134"
"64062","47.588485430926085","47.588485430926085","47.588485430926085"
"64063","41.12932981271297","41.12932981271297","41.12932981271297"
"64064","49.976653861347586","49.976653861347586","49.976653861347586"
"80065","29.57972299447283","29.57972299447283","29.57972299447283"
"80066","34.43536269618198","34.43536269618198","34.43536269618198"
"80067","36.640495830448344","36.640495830448344","36.640495830448344"
"80068","36.79065920645371","36.79065920645371","36.79065920645371"
"80069","32.98960071289912","32.98960071289912","32.98960071289912"
"80070","28.819962949259207","28.819962949259207","28.819962949259207"
"80071","31.39437526324764","31.39437526324764","31.39437526324764"
"80072","31.92345410748385","31.92345410748385","31.92345410748385"
"80073","31.632365126395598","31.632365126395598","31.632365126395598"
"80074","30.715846977895126","30.715846977895126","30.715846977895126"
"80075","28.91048595076427","28.91048595076427","28.91048595076427"
"80076","34.13614060427062","34.13614060427062","34.13614060427062"
"80077","29.164972063386813","29.164972063386813","29.164972063386813"
"80078","34.49420565413311","34.49420565413311","34.49420565413311"
"80079","25.88201050600037","25.88201050600037","25.88201050600037"
"80080","27.837691048625857","27.837691048625857","27.837691048625857"
"96081","35.47504456946626","35.47504456946626","35.47504456946626"
"96082","34.52560152707156","34.52560152707156","34.52560152707156"
"96083","32.888632918708026","32.888632918708026","32.888632918708026"
"96084","35.67845223774202","35.67845223774202","35.67845223774202"
"96085","37.551696822512895","37.551696822512895","37.551696822512895"
"96086","34.8551462610485","34.8551462610485","34.8551462610485"
"96087","36.037773211020976","36.037773211020976","36.037773211020976"
"96088","39.901223894325085","39.901223894325085","39.901223894325085"
"96089","36.28236079704948","36.28236079704948","36.28236079704948"
"96090","33.852936666458845","33.852936666458845","33.852936666458845"
"96091","34.15286990487948","34.15286990487948","34.15286990487948"
"96092","35.33630617847666","35.33630617847666","35.33630617847666"
"96093","35.78572752792388","35.78572752792388","35.78572752792388"
"96094","35.0940607059747","35.0940607059747","35.0940607059747"
"96095","33.800519507261924","33.800519507261924","33.800519507261924"
"96096","35.4710849376861","35.4710849376861","35.4710849376861"
"112097","35.09160995017737","35.09160995017737","35.09160995017737"
"112098","50.572459735674784","50.572459735674784","50.572459735674784"
"112099","30.938696201425046","30.938696201425046","30.938696201425046"
"112100","38.491845310432836","38.491845310432836","38.491845310432836"
"112101","41.64600222185254","41.64600222185254","41.64600222185254"
"112102","34.77698588185012","34.77698588185012","34.77698588185012"
"112103","44.844827289227396","44.844827289227396","44.844827289227396"
"112104","34.12967434129678","34.12967434129678","34.12967434129678"
"112105","47.4357732324861","47.4357732324861","47.4357732324861"
"112106","41.7493743468076","41.7493743468076","41.7493743468076"
"112107","63.52904607076198","63.52904607076198","63.52904607076198"
"112108","53.6888088285923","53.6888088285923","53.6888088285923"
"112109","39.62510374037083","39.62510374037083","39.62510374037083"
"112110","42.47450011782348","42.47450011782348","42.47450011782348"
"112111","41.52093040011823","41.52093040011823","41.52093040011823"
"112112","33.49766147788614","33.49766147788614","33.49766147788614"
