"Step","log_orig_dreamerv3 - episode/score","log_orig_dreamerv3 - episode/score__MIN","log_orig_dreamerv3 - episode/score__MAX"
"16001","34.28827552963048","34.28827552963048","34.28827552963048"
"16002","35.604190507903695","35.604190507903695","35.604190507903695"
"16003","31.931705818511546","31.931705818511546","31.931705818511546"
"16004","37.033790197456256","37.033790197456256","37.033790197456256"
"16005","31.909955562092364","31.909955562092364","31.909955562092364"
"16006","31.616671507246792","31.616671507246792","31.616671507246792"
"16007","28.424921348690987","28.424921348690987","28.424921348690987"
"16008","40.8110094666481","40.8110094666481","40.8110094666481"
"16009","29.511945608071983","29.511945608071983","29.511945608071983"
"16010","40.714707606937736","40.714707606937736","40.714707606937736"
"16011","33.519870352","33.519870352","33.519870352"
"16012","33.20157735282555","33.20157735282555","33.20157735282555"
"16013","35.76702421158552","35.76702421158552","35.76702421158552"
"16014","27.63509509526193","27.63509509526193","27.63509509526193"
"16015","33.02811830025166","33.02811830025166","33.02811830025166"
"16016","44.72114512650296","44.72114512650296","44.72114512650296"
"32017","43.63257404696196","43.63257404696196","43.63257404696196"
"32018","42.71583491470665","42.71583491470665","42.71583491470665"
"32019","35.74224925227463","35.74224925227463","35.74224925227463"
"32020","36.77239142451435","36.77239142451435","36.77239142451435"
"32021","37.86811609426513","37.86811609426513","37.86811609426513"
"32022","42.411341935396194","42.411341935396194","42.411341935396194"
"32023","34.94440274499357","34.94440274499357","34.94440274499357"
"32024","37.216716799885035","37.216716799885035","37.216716799885035"
"32025","40.912308489438146","40.912308489438146","40.912308489438146"
"32026","40.25878887902945","40.25878887902945","40.25878887902945"
"32027","37.39725522417575","37.39725522417575","37.39725522417575"
"32028","36.16034265561029","36.16034265561029","36.16034265561029"
"32029","47.79450025013648","47.79450025013648","47.79450025013648"
"32030","39.09353835135698","39.09353835135698","39.09353835135698"
"32031","38.266571945510805","38.266571945510805","38.266571945510805"
"32032","33.02407783130184","33.02407783130184","33.02407783130184"
"48033","29.984056220389903","29.984056220389903","29.984056220389903"
"48034","28.19321891106665","28.19321891106665","28.19321891106665"
"48035","29.1629195548594","29.1629195548594","29.1629195548594"
"48036","30.319392582401633","30.319392582401633","30.319392582401633"
"48037","33.82015977660194","33.82015977660194","33.82015977660194"
"48038","32.064861751161516","32.064861751161516","32.064861751161516"
